name,coordinates,types,rating,formatted address,icon
Le Bernardin,"(40.761538, -73.981864)","bar, restaurant, food, point_of_interest, establishment",4.7,"155 W 51st St, New York, NY 10019, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
The Modern,"(40.761081, -73.976753)","bar, restaurant, food, point_of_interest, establishment",4.6,"9 W 53rd St, New York, NY 10019, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Los Tacos No.1,"(40.7573133, -73.98740649999999)","restaurant, food, point_of_interest, establishment",4.8,"229 W 43rd St, New York, NY 10036, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Gotham,"(40.734199, -73.9936942)","restaurant, food, point_of_interest, establishment",4.5,"12 E 12th St, New York, NY 10003, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Song' E Napule NYC,"(40.7281815, -74.0018494)","restaurant, food, point_of_interest, establishment",4.8,"146 W Houston St, New York, NY 10012, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Gramercy Tavern,"(40.7384555, -73.98850639999999)","bar, restaurant, food, point_of_interest, establishment",4.7,"42 E 20th St, New York, NY 10003, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
The NoMad Restaurant,"(40.7448942, -73.988622)","restaurant, food, point_of_interest, establishment",4.7,"1170 Broadway, New York, NY 10001, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
THE GRILL,"(40.7583177, -73.9718681)","restaurant, food, point_of_interest, establishment",4.6,"99 E 52nd St, New York, NY 10022, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
K Rico Steakhouse,"(40.7643559, -73.98802719999999)","bar, restaurant, food, point_of_interest, establishment",4.5,"772 9th Ave, New York, NY 10019, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Eleven Madison Park,"(40.7416519, -73.9872353)","restaurant, food, point_of_interest, establishment",4.6,"11 Madison Ave, New York, NY 10010, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Le Coucou,"(40.7191167, -74.0001861)","restaurant, food, point_of_interest, establishment",4.6,"138 Lafayette St, New York, NY 10013, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Manhatta,"(40.7079974, -74.00888259999999)","restaurant, food, point_of_interest, establishment",4.7,"28 Liberty St 60th floor, New York, NY 10005, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Daniel,"(40.7668083, -73.9675769)","restaurant, food, point_of_interest, establishment",4.6,"60 E 65th St, New York, NY 10065, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Upland,"(40.741693, -73.98488499999999)","meal_takeaway, bar, restaurant, food, point_of_interest, establishment",4.5,"345 Park Ave S, New York, NY 10010, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Blue Hill,"(40.7320465, -73.9996685)","restaurant, food, point_of_interest, establishment",4.7,"75 Washington Pl, New York, NY 10011, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Wildair.,"(40.7200222, -73.9891648)","restaurant, food, point_of_interest, establishment",4.6,"142 Orchard St, New York, NY 10002, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Spice Symphony,"(40.75590529999999, -73.9715702)","meal_takeaway, restaurant, food, point_of_interest, establishment",4.4,"150E, 50th Street Between 3rd avenue and, Lexington Ave, New York, NY 10022, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Piccola Cucina Osteria Siciliana,"(40.7249914, -74.0032516)","restaurant, food, point_of_interest, establishment",4.6,"196 Spring St, New York, NY 10012, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Michael's,"(40.762163, -73.97635609999999)","bar, restaurant, food, point_of_interest, establishment",4.5,"24 W 55th St, New York, NY 10019, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Estela,"(40.72464129999999, -73.994739)","restaurant, food, point_of_interest, establishment",4.6,"47 E Houston St 1st floor, New York, NY 10012, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
